indicator,horizon,origin_year,quantile,value,method,created_utc
trust_media_pct,1,1985,0.05,24.521028071899604,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,1,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,1,1985,0.95,38.95587263066824,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,2,1985,0.05,23.457813398487104,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,2,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,2,1985,0.95,40.019087304080735,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,3,1985,0.05,22.51637291021376,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,3,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,3,1985,0.95,40.96052779235408,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,4,1985,0.05,21.662514845626585,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,4,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,4,1985,0.95,41.81438585694126,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,5,1985,0.05,20.87556674244243,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,5,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,5,1985,0.95,42.60133396012541,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,6,1985,0.05,20.14189895510117,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,6,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,6,1985,0.95,43.33500174746667,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,7,1985,0.05,19.45196312875448,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,7,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,7,1985,0.95,44.02493757381336,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,8,1985,0.05,18.798762091729515,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,8,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,8,1985,0.95,44.67813861083832,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,9,1985,0.05,18.176986704629805,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,9,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,9,1985,0.95,45.29991399793804,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,10,1985,0.05,17.582495412651483,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,10,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,10,1985,0.95,45.89440528991636,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,11,1985,0.05,17.011983558136855,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,11,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,11,1985,0.95,46.46491714443098,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,12,1985,0.05,16.462764173742364,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,12,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,12,1985,0.95,47.01413652882548,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,13,1985,0.05,15.93261749819436,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,13,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,13,1985,0.95,47.54428320437348,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,14,1985,0.05,15.419684584079704,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,14,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,14,1985,0.95,48.057216118488135,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,15,1985,0.05,14.922390166152944,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,15,1985,0.5,31.73845035128392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
trust_media_pct,15,1985,0.95,48.554510536414895,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,1,1985,0.05,10.12506933869694,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,1,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,1,1985,0.95,12.074930661341623,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,2,1985,0.05,9.721239836536782,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,2,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,2,1985,0.95,12.478760163501782,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,3,1985,0.05,9.411370560969328,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,3,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,3,1985,0.95,12.788629439069236,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,4,1985,0.05,9.150138677656578,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,4,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,4,1985,0.95,13.049861322381986,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,5,1985,0.05,8.919988768289981,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,5,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,5,1985,0.95,13.280011231748585,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,6,1985,0.05,8.711917345569113,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,6,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,6,1985,0.95,13.488082654469451,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,7,1985,0.05,8.520575925054942,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,7,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,7,1985,0.95,13.679424074983622,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,8,1985,0.05,8.342479673253672,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,8,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,8,1985,0.95,13.857520326784892,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,9,1985,0.05,8.175208016553555,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,9,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,9,1985,0.95,14.02479198348501,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,10,1985,0.05,8.016998550041476,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,10,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,10,1985,0.95,14.183001449997088,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,11,1985,0.05,7.86652080036682,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,11,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,11,1985,0.95,14.333479199671745,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,12,1985,0.05,7.722741122082176,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,12,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,12,1985,0.95,14.477258877956388,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,13,1985,0.05,7.584837511225221,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,13,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,13,1985,0.95,14.615162488813343,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,14,1985,0.05,7.452143490143279,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,14,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,14,1985,0.95,14.747856509895286,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,15,1985,0.05,7.324109785690402,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,15,1985,0.5,11.100000000019282,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
union_membership_rate,15,1985,0.95,14.875890214348162,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,1,1985,0.05,25.78948794298708,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,1,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,1,1985,0.95,72.67857159895178,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,2,1985,0.05,25.1558721754998,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,2,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,2,1985,0.95,73.31218736643905,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,3,1985,0.05,24.53850781129972,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,3,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,3,1985,0.95,73.92955173063915,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,4,1985,0.05,23.93620503189776,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,4,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,4,1985,0.95,74.5318545100411,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,5,1985,0.05,23.34791248395544,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,5,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,5,1985,0.95,75.12014705798342,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,6,1985,0.05,22.77269571795347,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,6,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,6,1985,0.95,75.69536382398539,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,7,1985,0.05,22.2097197606554,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,7,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,7,1985,0.95,76.25833978128347,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,8,1985,0.05,21.658234892093912,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,8,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,8,1985,0.95,76.80982464984494,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,9,1985,0.05,21.11756493503967,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,9,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,9,1985,0.95,77.35049460689919,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,10,1985,0.05,20.587097534893392,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,10,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,10,1985,0.95,77.88096200704547,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,11,1985,0.05,20.0662760314956,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,11,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,11,1985,0.95,78.40178351044327,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,12,1985,0.05,19.55459261534184,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,12,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,12,1985,0.95,78.91346692659701,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,13,1985,0.05,19.05158252852228,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,13,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,13,1985,0.95,79.41647701341657,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,14,1985,0.05,18.556819121835066,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,14,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,14,1985,0.95,79.9112404201038,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,15,1985,0.05,18.0699096184668,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,15,1985,0.5,49.23402977096943,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
vep_turnout_pct,15,1985,0.95,80.39814992347206,meta_stack_linear_pool,2025-09-23T06:30:29+00:00
